"","Count_180","idSensore","Year","Month","Count_120"
"673",0,5719,2000,4,0
"674",0,5719,2000,5,9
"675",9,5719,2000,6,23
"676",NA,5719,2000,7,19
"677",17,5719,2000,8,23
"678",5,5719,2000,9,9
"679",0,5719,2000,10,0
"680",0,5719,2001,4,2
"681",7,5719,2001,5,13
"682",11,5719,2001,6,21
"683",13,5719,2001,7,26
"684",17,5719,2001,8,27
"685",0,5719,2001,9,0
"686",1,5719,2001,10,1
"687",0,5719,2002,4,4
"688",1,5719,2002,5,7
"689",14,5719,2002,6,23
"690",12,5719,2002,7,26
"691",4,5719,2002,8,22
"692",0,5719,2002,9,3
"693",0,5719,2002,10,0
"694",0,5719,2003,4,1
"695",1,5719,2003,5,12
"696",18,5719,2003,6,29
"697",18,5719,2003,7,25
"698",19,5719,2003,8,28
"699",4,5719,2003,9,7
"700",0,5719,2003,10,0
"701",0,5719,2004,4,0
"702",0,5719,2004,5,4
"703",4,5719,2004,6,17
"704",8,5719,2004,7,20
"705",2,5719,2004,8,15
"706",2,5719,2004,9,7
"707",0,5719,2004,10,0
"708",0,5719,2005,4,1
"709",3,5719,2005,5,10
"710",7,5719,2005,6,18
"711",2,5719,2005,7,16
"712",0,5719,2005,8,6
"713",1,5719,2005,9,3
"714",0,5719,2005,10,0
"715",0,5719,2006,4,0
"716",0,5719,2006,5,0
"717",NA,5719,2006,6,14
"718",9,5719,2006,7,22
"719",0,5719,2006,8,1
"720",0,5719,2006,9,1
"721",0,5719,2006,10,0
"722",0,5719,2007,4,0
"723",1,5719,2007,5,6
"724",0,5719,2007,6,7
"725",4,5719,2007,7,13
"726",0,5719,2007,8,9
"727",0,5719,2007,9,3
"728",NA,5719,2007,10,NA
"729",0,5719,2008,4,3
"730",0,5719,2008,5,0
"731",1,5719,2008,6,5
"732",0,5719,2008,7,4
"733",2,5719,2008,8,10
"734",0,5719,2008,9,0
"735",NA,5719,2008,10,NA
"736",0,5719,2009,4,0
"737",NA,5719,2009,5,NA
"738",0,5719,2009,6,0
"739",NA,5719,2009,7,NA
"740",13,5719,2009,8,28
"741",0,5719,2009,9,6
"742",NA,5719,2009,10,NA
"743",0,5719,2010,4,2
"744",0,5719,2010,5,4
"745",7,5719,2010,6,12
"746",11,5719,2010,7,25
"747",0,5719,2010,8,11
"748",0,5719,2010,9,1
"749",0,5719,2010,10,0
"750",0,5719,2011,4,5
"751",2,5719,2011,5,14
"752",4,5719,2011,6,8
"753",0,5719,2011,7,12
